Run Number,Hits,Average Energy,Extracted Energy (keV),Thickness (cm),,EnergyP,HitsP,MAC
0,3785,0.006222,0.006222,1.50E-06,,1,0.3785,2.40E+05
1,2907,0.00635494,0.006354945,1.98E-06,,0.999999257,0.2907,2.31E+05
10,892,0.00768684,0.007686838,2.47E-06,,1.000000301,0.0892,3.62E+05
100,3705,0.051532756,0.051535566,2.98E-06,,0.999945488,0.3705,1.24E+05
101,3772,0.0526367,0.05263672,3.49E-06,,0.999999622,0.3772,1.03E+05
102,3798,0.0537614,0.053761402,4.01E-06,,0.999999957,0.3798,8.93E+04
103,3881,0.0549101,0.054910116,4.55E-06,,0.999999714,0.3881,7.71E+04
104,3902,0.0560834,0.056083374,5.10E-06,,1.000000472,0.3902,6.84E+04
105,3940,0.0572817,0.0572817,5.65E-06,,0.999999997,0.394,6.10E+04
106,4300,0.0585056,0.058505631,6.22E-06,,0.999999465,0.43,5.02E+04
107,4520,0.0597557,0.059755714,6.81E-06,,0.999999764,0.452,4.32E+04
108,4747,0.0610325,0.061032507,7.40E-06,,0.999999882,0.4747,3.73E+04
109,5095,0.062327038,0.062336581,8.01E-06,,0.999846911,0.5095,3.12E+04
11,910,0.00785108,0.007851081,8.63E-06,,0.999999819,0.091,1.03E+05
110,5290,0.0636685,0.06366852,9.26E-06,,0.999999692,0.529,2.55E+04
111,5533,0.0650289,0.065028917,9.91E-06,,0.999999736,0.5533,2.21E+04
112,5834,0.0664184,0.066418382,1.06E-05,,1.000000269,0.5834,1.89E+04
113,6226,0.0678375,0.067837536,1.12E-05,,0.999999474,0.6226,1.56E+04
114,6475,0.069287,0.069287012,1.19E-05,,0.999999825,0.6475,1.35E+04
115,6709,0.0707675,0.070767459,1.26E-05,,1.000000575,0.6709,1.17E+04
116,7008,0.0722795,0.072279539,1.34E-05,,0.99999946,0.7008,9.85E+03
117,7313,0.073817497,0.073823927,1.41E-05,,0.9999129,0.7313,8.22E+03
118,7652,0.0754013,0.075401314,1.48E-05,,0.999999813,0.7652,6.68E+03
119,4259,0.0770124,0.077012405,1.56E-05,,0.999999937,0.4259,2.02E+04
12,909,0.00801883,0.008018835,1.64E-05,,0.999999435,0.0909,5.42E+04
120,3484,0.0786579,0.07865792,1.72E-05,,0.99999975,0.3484,2.27E+04
121,2332,0.0803386,0.080338594,1.80E-05,,1.000000076,0.2332,2.99E+04
122,1319,0.0820552,0.082055179,1.88E-05,,1.000000257,0.1319,3.98E+04
123,776,0.0838084,0.083808442,1.97E-05,,0.999999499,0.0776,4.81E+04
124,510,0.0855992,0.085599167,2.06E-05,,1.000000388,0.051,5.36E+04
125,524,0.0874282,0.087428154,2.15E-05,,1.000000528,0.0524,5.09E+04
126,523,0.0892962,0.089296221,2.24E-05,,0.999999769,0.0523,4.89E+04
127,638,0.0912042,0.091204202,2.33E-05,,0.999999976,0.0638,4.38E+04
128,839,0.093153,0.093152951,2.42E-05,,1.000000522,0.0839,3.79E+04
129,1142,0.0951433,0.095143339,2.52E-05,,0.999999588,0.1142,3.19E+04
13,931,0.00819017,0.008190172,2.62E-05,,0.999999756,0.0931,3.36E+04
130,1643,0.0971763,0.097176255,2.72E-05,,1.000000459,0.1643,2.46E+04
131,2234,0.0992526,0.099252609,2.82E-05,,0.999999912,0.2234,1.97E+04
132,3214,0.101373,0.101373327,2.93E-05,,0.999996772,0.3214,1.44E+04
133,3395,0.103539,0.103539359,3.04E-05,,0.999996535,0.3395,1.32E+04
134,3344,0.105752,0.105751672,3.15E-05,,1.000003104,0.3344,1.29E+04
135,3336,0.108011,0.108011255,3.26E-05,,0.99999764,0.3336,1.25E+04
136,3293,0.110319,0.110319118,3.37E-05,,0.999998927,0.3293,1.22E+04
137,3314,0.112676,0.112676294,3.49E-05,,0.999997394,0.3314,1.17E+04
138,3362,0.115084,0.115083834,3.61E-05,,1.000001439,0.3362,1.12E+04
139,3430,0.117543,0.117542817,3.73E-05,,1.000001559,0.343,1.06E+04
14,907,0.00836517,0.00836517,3.86E-05,,0.999999951,0.0907,2.30E+04
140,3487,0.120054,0.12005434,3.98E-05,,0.999997169,0.3487,9.79E+03
141,3188,0.12262,0.122619526,4.11E-05,,1.000003862,0.3188,1.03E+04
142,3231,0.12524,0.125239523,4.25E-05,,1.000003809,0.3231,9.85E+03
143,3357,0.127916,0.127915501,4.38E-05,,1.000003903,0.3357,9.22E+03
144,3406,0.130649,0.130648656,4.50E-05,,1.000002635,0.3406,8.87E+03
145,3547,0.13344,0.13344021,4.48E-05,,0.999998428,0.3547,8.57E+03
146,3475,0.136291,0.136291411,4.46E-05,,0.999996987,0.3475,8.78E+03
147,3494,0.139204,0.139203533,4.44E-05,,1.000003357,0.3494,8.77E+03
148,3546,0.142178,0.142177878,4.42E-05,,1.00000086,0.3546,8.69E+03
149,3583,0.145216,0.145215775,4.40E-05,,1.000001548,0.3583,8.64E+03
15,965,0.00854391,0.008543908,4.38E-05,,1.000000235,0.0965,1.98E+04
150,3702,0.148319,0.148318583,4.36E-05,,1.00000281,0.3702,8.44E+03
151,3714,0.151488,0.151487688,4.34E-05,,1.000002057,0.3714,8.46E+03
152,3697,0.154725,0.154724507,4.31E-05,,1.000003183,0.3697,8.54E+03
153,3746,0.15803,0.158030487,4.29E-05,,0.999996916,0.3746,8.47E+03
154,3974,0.161407,0.161407106,4.27E-05,,0.999999346,0.3974,8.01E+03
155,3837,0.164856,0.164855872,4.25E-05,,1.000000778,0.3837,8.36E+03
156,3778,0.168378,0.168378327,4.22E-05,,0.999998057,0.3778,8.54E+03
157,3695,0.171976,0.171976047,4.20E-05,,0.999999729,0.3695,8.79E+03
158,3611,0.175651,0.175650638,4.17E-05,,1.000002061,0.3611,9.04E+03
159,3792,0.179404,0.179403744,4.15E-05,,1.000001428,0.3792,8.66E+03
16,1001,0.00872646,0.008726465,4.12E-05,,0.999999468,0.1001,2.07E+04
160,3850,0.183237,0.183237042,4.09E-05,,0.999999771,0.385,8.64E+03
161,4070,0.187152,0.187152246,4.07E-05,,0.999998687,0.407,8.19E+03
162,4314,0.191151,0.191151105,4.04E-05,,0.99999945,0.4314,7.71E+03
163,4338,0.195235,0.195235408,4.01E-05,,0.999997912,0.4338,7.71E+03
164,4537,0.199407,0.199406979,3.98E-05,,1.000000106,0.4537,7.35E+03
165,4609,0.203668,0.203667684,3.95E-05,,1.000001553,0.4609,7.26E+03
166,4626,0.208019,0.208019426,3.92E-05,,0.99999795,0.4626,7.28E+03
167,4719,0.212464,0.212464152,3.89E-05,,0.999999283,0.4719,7.15E+03
168,4819,0.217004,0.217003848,3.86E-05,,1.000000699,0.4819,7.01E+03
169,4957,0.221641,0.221640543,3.83E-05,,1.000002061,0.4957,6.79E+03
17,996,0.00891292,0.008912922,3.80E-05,,0.999999781,0.0996,2.25E+04
170,4750,0.226376,0.22637631,3.82E-05,,0.999998631,0.475,7.23E+03
171,4694,0.231213,0.231213265,3.83E-05,,0.999998853,0.4694,7.31E+03
172,4652,0.23610861,0.236153571,3.84E-05,,0.999809611,0.4652,7.38E+03
173,4552,0.241199,0.241199436,3.86E-05,,0.999998193,0.4552,7.56E+03
174,4659,0.246353,0.246353115,3.87E-05,,0.999999533,0.4659,7.30E+03
175,4846,0.251617,0.251616912,3.89E-05,,1.000000349,0.4846,6.90E+03
176,4693,0.256993,0.25699318,3.90E-05,,0.999999299,0.4693,7.18E+03
177,4561,0.262484,0.262484322,3.92E-05,,0.999998772,0.4561,7.42E+03
178,4593,0.268093,0.268092793,3.93E-05,,1.000000771,0.4593,7.32E+03
179,4711,0.273821,0.273821099,3.95E-05,,0.999999637,0.4711,7.06E+03
18,606,0.00910336,0.009103363,3.97E-05,,0.99999964,0.0606,2.62E+04
180,4704,0.279672,0.279671802,3.98E-05,,1.000000709,0.4704,7.01E+03
181,4822,0.285648,0.285647515,4.00E-05,,1.000001697,0.4822,6.75E+03
182,4794,0.291721014,0.291750911,4.04E-05,,0.999897526,0.4794,6.74E+03
183,4735,0.297985,0.297984718,4.08E-05,,1.000000947,0.4735,6.79E+03
184,4899,0.304352,0.304351721,4.11E-05,,1.000000916,0.4899,6.43E+03
185,4877,0.310855,0.310854768,4.15E-05,,1.000000748,0.4877,6.41E+03
186,4902,0.317497,0.317496764,4.19E-05,,1.000000744,0.4902,6.31E+03
187,5038,0.324281,0.324280679,4.23E-05,,1.000000991,0.5038,6.01E+03
188,4767,0.33121,0.331209545,4.27E-05,,1.000001375,0.4767,6.43E+03
189,4752,0.338286,0.338286459,4.31E-05,,0.999998643,0.4752,6.40E+03
19,620,0.00929787,0.009297874,4.35E-05,,0.999999597,0.062,2.37E+04
190,4664,0.345515,0.345514585,4.39E-05,,1.000001202,0.4664,6.43E+03
191,4704,0.352897,0.352897153,4.43E-05,,0.999999566,0.4704,6.30E+03
192,4849,0.360437,0.360437464,4.48E-05,,0.999998713,0.4849,5.99E+03
193,4933,0.368139,0.368138888,4.41E-05,,1.000000305,0.4933,5.93E+03
194,4992,0.376005,0.376004867,4.24E-05,,1.000000355,0.4992,6.07E+03
195,4993,0.384039,0.384038917,4.07E-05,,1.000000216,0.4993,6.33E+03
196,4945,0.392245,0.39224463,3.89E-05,,1.000000943,0.4945,6.71E+03
197,4687,0.400626,0.400625674,3.70E-05,,1.000000814,0.4687,7.58E+03
198,4740,0.409186,0.409185794,3.51E-05,,1.000000503,0.474,7.87E+03
199,4844,0.417929,0.417928818,3.32E-05,,1.000000437,0.4844,8.08E+03
2,2377,0.00649073,0.00649073,3.13E-05,,0.999999991,0.2377,1.70E+04
20,813,0.009493986,0.00949654,2.92E-05,,0.999731012,0.0813,3.18E+04
200,4878,0.426859,0.426858652,2.72E-05,,1.000000815,0.4878,9.77E+03
201,4795,0.435979,0.435979289,2.51E-05,,0.999999337,0.4795,1.08E+04
202,4654,0.445295,0.445294806,2.30E-05,,1.000000436,0.4654,1.23E+04
203,4625,0.454809,0.454809366,2.08E-05,,0.999999195,0.4625,1.37E+04
204,4477,0.464527,0.464527223,1.86E-05,,0.99999952,0.4477,1.60E+04
205,4551,0.474453,0.47445272,1.63E-05,,1.00000059,0.4551,1.79E+04
206,4495,0.48459,0.484590294,1.40E-05,,0.999999394,0.4495,2.12E+04
207,4539,0.494944,0.494944476,1.32E-05,,0.999999038,0.4539,2.22E+04
208,4783,0.50552,0.505519895,1.24E-05,,1.000000208,0.4783,2.20E+04
209,4736,0.516321,0.516321277,1.16E-05,,0.999999463,0.4736,2.39E+04
21,986,0.00969945,0.009699452,1.07E-05,,0.999999823,0.0986,8.00E+04
210,4702,0.527353,0.527353451,9.86E-06,,0.999999144,0.4702,2.83E+04
211,4651,0.538621,0.538621349,8.99E-06,,0.999999353,0.4651,3.16E+04
212,4544,0.55013,0.550130006,8.09E-06,,0.999999989,0.4544,3.61E+04
213,4586,0.561885,0.561884567,7.17E-06,,1.00000077,0.4586,4.03E+04
214,4445,0.57389,0.573890287,6.23E-06,,0.9999995,0.4445,4.82E+04
215,4602,0.586153,0.586152531,5.28E-06,,1.0000008,0.4602,5.45E+04
216,4806,0.598677,0.598676781,4.30E-06,,1.000000365,0.4806,6.31E+04
217,4772,0.611469,0.611468636,3.30E-06,,1.000000596,0.4772,8.30E+04
218,4696,0.624534,0.624533812,3.07E-06,,1.000000301,0.4696,9.13E+04
219,4608,0.637878,0.637878151,3.16E-06,,0.999999764,0.4608,9.08E+04
22,1159,0.0099067,0.009906699,3.20E-06,,1.000000129,0.1159,2.49E+05
220,4661,0.651508,0.651507616,3.20E-06,,1.00000059,0.4661,8.84E+04
221,4445,0.665428,0.6654283,3.20E-06,,0.999999549,0.4445,9.38E+04
222,4337,0.679646,0.679646426,3.20E-06,,0.999999373,0.4337,9.67E+04
223,4318,0.694168,0.694168349,3.20E-06,,0.999999497,0.4318,9.72E+04
224,4589,0.709001,0.70900056,3.20E-06,,1.00000062,0.4589,9.02E+04
225,4683,0.72415,0.72414969,3.20E-06,,1.000000429,0.4683,8.78E+04
226,4513,0.739623,0.739622508,3.20E-06,,1.000000665,0.4513,9.21E+04
227,4532,0.755426,0.755425933,3.20E-06,,1.000000089,0.4532,9.16E+04
228,4802,0.771567,0.771567028,3.20E-06,,0.999999964,0.4802,8.49E+04
229,4827,0.788053,0.788053007,3.20E-06,,0.999999991,0.4827,8.43E+04
23,1239,0.0101184,0.010118374,3.33E-06,,1.000002574,0.1239,2.32E+05
230,4582,0.804891,0.80489124,3.52E-06,,0.999999702,0.4582,8.20E+04
231,4434,0.822089,0.822089254,3.60E-06,,0.999999691,0.4434,8.37E+04
232,4646,0.839655,0.839654735,3.60E-06,,1.000000315,0.4646,7.89E+04
233,4949,0.857596,0.857595537,3.64E-06,,1.00000054,0.4949,7.15E+04
234,4820,0.87592,0.875919677,3.74E-06,,1.000000369,0.482,7.23E+04
235,4675,0.894635,0.894635347,3.83E-06,,0.999999613,0.4675,7.35E+04
236,4511,0.913751,0.913750912,3.93E-06,,1.000000097,0.4511,7.51E+04
237,4445,0.933275,0.933274917,4.04E-06,,1.000000089,0.4445,7.43E+04
238,4143,0.953216,0.953216089,4.23E-06,,0.999999906,0.4143,7.71E+04
239,4054,0.973583,0.973583342,4.43E-06,,0.999999649,0.4054,7.55E+04
24,1426,0.0103346,0.010334572,4.71E-06,,1.000002706,0.1426,1.53E+05
240,3898,0.994386,0.99438578,5.00E-06,,1.000000222,0.3898,6.98E+04
241,3995,1.01563,1.0156327,5.00E-06,,0.999997341,0.3995,6.80E+04
242,4220,1.03733,1.037333601,5.00E-06,,0.999996528,0.422,6.39E+04
243,4131,1.059250419,1.059498183,5.00E-06,,0.99976615,0.4131,6.55E+04
244,4199,1.08214,1.082136352,5.00E-06,,1.000003371,0.4199,6.43E+04
245,4181,1.104993567,1.105258229,5.00E-06,,0.999760543,0.4181,6.46E+04
246,4243,1.128333809,1.128874148,5.00E-06,,0.999521347,0.4243,6.35E+04
247,4207,1.151922269,1.152994665,5.09E-06,,0.999069904,0.4207,6.31E+04
248,4171,1.176601819,1.177630563,5.32E-06,,0.999126429,0.4171,6.09E+04
249,4126,1.201203636,1.202792852,5.50E-06,,0.998678728,0.4126,5.97E+04
25,1677,0.010554276,0.01055539,5.50E-06,,0.999894476,0.1677,1.20E+05
250,4231,1.226971998,1.228492782,5.56E-06,,0.998762073,0.4231,5.74E+04
251,4187,1.252977973,1.254741838,6.03E-06,,0.99859424,0.4187,5.36E+04
252,4391,1.278992524,1.281551755,6.51E-06,,0.998003022,0.4391,4.70E+04
253,4248,1.305355942,1.308934517,6.97E-06,,0.99726604,0.4248,4.56E+04
254,4214,1.334373479,1.336902362,7.45E-06,,0.998108401,0.4214,4.31E+04
255,4200,1.364181856,1.365467793,7.50E-06,,0.999058244,0.42,4.29E+04
256,4233,1.391480415,1.394643578,7.64E-06,,0.99773192,0.4233,4.18E+04
257,4223,1.421038726,1.424442759,8.25E-06,,0.997610271,0.4223,3.88E+04
258,4299,1.451852157,1.454878655,8.77E-06,,0.997919759,0.4299,3.57E+04
259,4374,1.482303064,1.485964871,9.24E-06,,0.997535737,0.4374,3.32E+04
26,1796,0.0107809,0.010780925,9.60E-06,,0.999997652,0.1796,6.63E+04
260,4420,1.513874577,1.517715303,9.81E-06,,0.997469403,0.442,3.09E+04
261,4673,1.544714449,1.550144142,1.00E-05,,0.996497298,0.4673,2.82E+04
262,78,1.58327,1.583265885,1.05E-05,,1.000002599,0.0078,1.71E+05
263,4263,1.613007432,1.617095335,1.10E-05,,0.99747207,0.4263,2.88E+04
264,4331,1.647250583,1.651647616,1.15E-05,,0.99733779,0.4331,2.71E+04
265,4505,1.680322376,1.686938171,1.19E-05,,0.996078224,0.4505,2.49E+04
266,4435,1.717772872,1.722982774,1.24E-05,,0.996976231,0.4435,2.44E+04
267,4468,1.751291115,1.759797539,1.29E-05,,0.995166248,0.4468,2.33E+04
268,4422,1.791453673,1.79739892,1.40E-05,,0.996692305,0.4422,2.16E+04
269,4401,1.830488053,1.835803725,1.54E-05,,0.997104444,0.4401,1.98E+04
27,1985,0.0110113,0.01101128,1.63E-05,,1.000001813,0.1985,3.68E+04
270,4220,1.869091831,1.875029121,1.68E-05,,0.996833494,0.422,1.91E+04
271,4199,1.908292095,1.915092642,1.72E-05,,0.996448973,0.4199,1.87E+04
272,4172,1.949360809,1.956012195,1.77E-05,,0.996599517,0.4172,1.84E+04
273,4176,1.98924389,1.997806071,1.83E-05,,0.995714208,0.4176,1.77E+04
274,4213,2.032830868,2.040492951,1.93E-05,,0.996244984,0.4213,1.67E+04
275,4141,2.076960791,2.084091917,2.04E-05,,0.996578306,0.4141,1.60E+04
276,4187,2.121364888,2.128622457,2.23E-05,,0.996590485,0.4187,1.45E+04
277,4335,2.166917316,2.174104476,2.41E-05,,0.996694197,0.4335,1.29E+04
278,4456,2.212957748,2.220558303,2.46E-05,,0.996577188,0.4456,1.22E+04
279,4369,2.2607194,2.268004704,2.55E-05,,0.996787792,0.4369,1.21E+04
28,2257,0.0112466,0.011246557,2.79E-05,,1.000003847,0.2257,1.98E+04
280,4367,2.308070933,2.316464886,3.02E-05,,0.996376396,0.4367,1.02E+04
281,4105,2.356043306,2.365960511,3.26E-05,,0.995808381,0.4105,1.02E+04
282,4193,2.406184282,2.416513703,3.50E-05,,0.995725486,0.4193,9.25E+03
283,4291,2.460539505,2.468147059,3.73E-05,,0.996917707,0.4291,8.43E+03
284,6505,2.50970779,2.520883658,3.97E-05,,0.995566686,0.6505,4.06E+03
285,9445,2.567359983,2.574747074,4.00E-05,,0.997130945,0.9445,5.55E+02
286,9715,2.621248724,2.629761384,4.05E-05,,0.996762953,0.9715,2.94E+02
287,9735,2.67731576,2.685951177,4.28E-05,,0.996784969,0.9735,2.60E+02
288,9754,2.734936305,2.743341571,4.53E-05,,0.996936121,0.9754,2.29E+02
289,9736,2.793362362,2.801958218,4.85E-05,,0.996932197,0.9736,2.28E+02
29,2518,0.0114869,0.011486861,5.19E-05,,1.000003435,0.2518,9.85E+03
290,9748,2.853458676,2.861827321,5.56E-05,,0.997075769,0.9748,1.90E+02
291,9791,2.912745946,2.922975639,5.94E-05,,0.996500247,0.9791,1.54E+02
292,9777,2.97514237,2.985430506,6.00E-05,,0.996553885,0.9777,1.61E+02
293,9785,3.038491237,3.049219838,6.09E-05,,0.996481526,0.9785,1.54E+02
294,9444,3.103732499,3.11437215,6.55E-05,,0.996583693,0.9444,3.43E+02
295,9159,3.167279318,3.180916563,7.03E-05,,0.995712794,0.9159,4.85E+02
296,9209,3.234453266,3.248882822,7.50E-05,,0.99555861,0.9209,4.29E+02
297,9202,3.306151333,3.318301308,7.97E-05,,0.996338495,0.9202,4.03E+02
298,9282,3.378716109,3.389203051,8.79E-05,,0.99690578,0.9282,3.27E+02
299,9303,3.446401092,3.461619742,9.64E-05,,0.995603604,0.9303,2.94E+02
3,1915,0.00662942,0.006629417,0.0001,,1.000000498,0.1915,6.12E+03
30,2700,0.0117323,0.011732299,0.0001,,1.000000093,0.27,4.85E+03
300,9352,3.522654929,3.535583753,0.000104268,,0.996343228,0.9352,2.51E+02
301,9400,3.597644055,3.611128143,0.000113667,,0.996265962,0.94,2.14E+02
302,9436,3.676587335,3.688286681,0.00012,,0.996827973,0.9436,1.89E+02
303,9414,3.752635869,3.767093856,0.00012,,0.996162031,0.9414,1.98E+02
304,9492,3.834326897,3.847584895,0.000122974,,0.996554203,0.9492,1.67E+02
305,9558,3.91248887,3.929795776,0.000136999,,0.995595978,0.9558,1.34E+02
306,9531,4.000091052,4.013763247,0.00015,,0.996593672,0.9531,1.27E+02
307,9534,4.083213258,4.099524841,0.00015,,0.996021104,0.9534,1.28E+02
308,9577,4.167527791,4.187118892,0.00015,,0.995321102,0.9577,1.18E+02
309,9637,4.258812247,4.276584555,0.000163516,,0.995844275,0.9637,9.32E+01
31,2923,0.011983,0.011982982,0.000177767,,1.000001542,0.2923,2.56E+03
310,9597,4.350967758,4.36796182,0.000195709,,0.996109384,0.9597,8.52E+01
311,9647,4.439391059,4.461291532,0.000214661,,0.995091002,0.9647,7.05E+01
312,9718,4.536503143,4.556615408,0.000240103,,0.995586139,0.9718,5.09E+01
313,9675,4.636916845,4.653976058,0.000268457,,0.996334486,0.9675,5.06E+01
314,9734,4.737203727,4.753417002,0.000285551,,0.996589133,0.9734,3.94E+01
315,9704,4.832402711,4.854982688,0.000294977,,0.995349113,0.9704,4.36E+01
316,9742,4.939179979,4.958718516,0.000305929,,0.996059761,0.9742,3.64E+01
317,9749,5.042633565,5.064670854,0.00031859,,0.995648821,0.9749,3.46E+01
318,9757,5.148410048,5.172887064,0.00033215,,0.99526821,0.9757,3.27E+01
319,9778,5.264133533,5.283415516,0.000350812,,0.99635047,0.9778,2.76E+01
32,3172,0.012239,0.01223902,0.000369873,,0.99999833,0.3172,1.15E+03
320,9784,5.369860914,5.396305616,0.000397738,,0.99509948,0.9784,2.49E+01
321,9786,5.489609715,5.511607825,0.000426255,,0.996008767,0.9786,2.23E+01
322,9816,5.607185924,5.629373683,0.000450223,,0.996058574,0.9816,1.85E+01
323,9815,5.724502215,5.749655829,0.000473925,,0.995625196,0.9815,1.80E+01
324,9834,5.848674687,5.87250803,0.000490402,,0.995941539,0.9834,1.57E+01
