Energy (keV),MAC
0.006222,239886.2237
0.006354945,230916.1426
0.00649073,17026.4559
0.006629417,6121.729528
0.006771067,13441.6168
0.006915743,55.0916994
0.007063511,29.01151093
0.007214436,17.98311428
0.007368586,13.5252817
0.00752603,10.88989901
0.007686838,361898.1062
0.007851081,102871.954
0.008018835,54163.59054
0.008190172,33561.61389
0.00836517,23049.58086
0.008543908,19774.57428
0.008726465,20687.92737
0.008912922,22466.72638
0.009103363,26169.23217
0.009297874,23687.03682
0.00949654,31780.71866
0.009699452,79997.19396
0.009906699,249424.4676
0.010118374,231924.675
0.010334572,153141.7317
0.01055539,120248.0902
0.010780925,66269.14255
0.01101128,36778.17915
0.011246557,19779.74234
0.011486861,9845.549145
0.011732299,4849.382321
0.011982982,2562.595544
0.01223902,1149.768237
0.01250053,584.7493378
0.012767627,3740.224869
0.013040432,1991.372162
0.013319065,34122.24641
0.013603652,6646.901014
0.01389432,6484.371455
0.014191198,6224.117697
0.014494419,6033.385731
0.01480412,3638.669883
0.015120438,2996.331711
0.015443514,428.317674
0.015773494,301.633662
0.016110524,311.9796286
0.016454756,311.462481
0.016806343,85.35168904
0.017165442,44.02245482
0.017532214,34.53410733
0.017906822,25.10426934
0.018289435,24.77251957
0.018680223,23.19414104
0.019079362,21.82918837
0.019487028,20.7391219
0.019903405,19.54001194
0.020328679,18.71016903
0.020763039,17.91810147
0.02120668,17.35150608
0.021659801,16.22979329
0.022122603,15.14852154
0.022595294,14.64934785
0.023078085,13.87770053
0.023571192,13.40438982
0.024074835,12.77846302
0.024589239,12.26393795
0.025114634,11.9066792
0.025651255,11.50890483
0.026199343,10.77182253
0.026759141,10.4040582
0.0273309,9.777184358
0.027914876,9.443972096
0.02851133,8.891856936
0.029120528,8.664403176
0.029742743,8.478249351
0.030378252,8.062618136
0.031027341,7.832687587
0.031690298,7.49204928
0.032367421,7.307947256
0.033059012,7.049485041
0.03376538,6.79373966
0.034486841,6.582279258
0.035223717,6.492559991
0.035976338,6.081805941
0.03674504,6.039193337
0.037530167,5.772340833
0.038332069,5.59212487
0.039151106,5.609077545
0.039987643,5.356646352
0.040842054,5.328386056
0.041714721,4.99318355
0.042606034,4.822266703
0.043516392,4.506666628
0.044446202,4.52950061
0.045395879,4.434138244
0.046365847,4.171967095
0.04735654,4.163128265
0.048368402,4.026589258
0.049401883,3.754414646
0.050457448,3.693446727
0.051535566,123582.601
0.05263672,103499.1777
0.053761402,89348.74775
0.054910116,77073.18346
0.056083374,68410.61262
0.0572817,61018.71409
0.058505631,50224.0085
0.059755714,43210.37246
0.061032507,37284.73552
0.062336581,31191.16372
0.06366852,25459.09687
0.065028917,22117.54665
0.066418382,18878.30713
0.067837536,15603.29208
0.069287012,13484.92034
0.070767459,11693.26096
0.072279539,9854.90137
0.073823927,8224.047364
0.075401314,6675.707165
0.077012405,20246.14963
0.07865792,22708.1176
0.080338594,29932.05338
0.082055179,39804.28459
0.083808442,48055.05165
0.085599167,53578.62374
0.087428154,50891.57354
0.089296221,48857.22423
0.091204202,43752.1912
0.093152951,37858.61891
0.095143339,31876.1584
0.097176255,24584.57027
0.099252609,19657.15856
0.101373327,14351.74381
0.103539359,13175.3105
0.105751672,12893.47774
0.108011255,12476.89523
0.110319118,12195.51734
0.112676294,11719.17094
0.115083834,11183.54947
0.117542817,10618.97805
0.12005434,9793.990964
0.122619526,10291.30442
0.125239523,9852.522576
0.127915501,9224.177459
0.130648656,8870.088656
0.13344021,8571.53258
0.136291411,8778.400212
0.139203533,8771.250168
0.142177878,8686.841491
0.145215775,8639.449106
0.148318583,8444.674916
0.151487688,8459.066222
0.154724507,8541.652867
0.158030487,8472.891068
0.161407106,8005.914595
0.164855872,8356.230297
0.168378327,8539.682223
0.171976047,8785.540821
0.175650638,9042.352651
0.179403744,8661.239579
0.183237042,8635.559367
0.187152246,8187.284085
0.191151105,7709.735526
0.195235408,7713.12536
0.199406979,7352.066897
0.203667684,7259.619559
0.208019426,7280.914579
0.212464152,7149.270808
0.217003848,7006.494994
0.221640543,6792.261085
0.22637631,7225.571043
0.231213265,7314.450104
0.236153571,7376.287301
0.241199436,7555.669689
0.246353115,7304.744692
0.251616912,6901.592458
0.25699318,7178.900629
0.262484322,7419.841286
0.268092793,7323.819821
0.273821099,7055.728796
0.279671802,7009.761791
0.285647515,6746.386749
0.291750911,6742.25607
0.297984718,6794.691799
0.304351721,6427.612887
0.310854768,6409.992448
0.317496764,6306.426897
0.324280679,6008.503464
0.331209545,6432.579963
0.338286459,6399.0602
0.345514585,6434.550922
0.352897153,6300.435345
0.360437464,5987.147993
0.368138888,5928.05489
0.376004867,6065.658544
0.384038917,6327.071764
0.39224463,6712.600786
0.400625674,7582.576297
0.409185794,7869.773671
0.417928818,8082.71367
0.426858652,9773.162038
0.435979289,10839.41632
0.445294806,12327.11056
0.454809366,13730.27545
0.464527223,16024.58298
0.47445272,17887.59653
0.484590294,21165.29586
0.494944476,22160.14064
0.505519895,22039.8432
0.516321277,23928.02843
0.527353451,28330.55233
0.538621349,31551.87507
0.550130006,36120.67753
0.561884567,40265.24587
0.573890287,48170.94048
0.586152531,54467.93046
0.598676781,63109.88951
0.611468636,82981.83084
0.624533812,91336.0019
0.637878151,90822.61766
0.651507616,88351.21364
0.6654283,93843.24944
0.679646426,96690.14528
0.694168349,97198.29443
0.70900056,90153.04831
0.72414969,87806.21922
0.739622508,92085.91521
0.755425933,91599.72929
0.771567028,84901.92487
0.788053007,84300.91956
0.80489124,82027.10343
0.822089254,83671.12043
0.839654735,78866.06416
0.857595537,71483.55272
0.875919677,72302.20814
0.894635347,73470.70513
0.913750912,75084.07566
0.933274917,74272.87634
0.953216089,77148.35423
0.973583342,75475.18138
0.99438578,69837.42221
1.0156327,67966.23499
1.037333601,63907.66197
1.059498183,65503.66387
1.082136352,64276.6904
1.105258229,64612.89823
1.128874148,63540.24399
1.152994665,63090.55503
1.177630563,60904.09994
1.202792852,59703.62452
1.228492782,57353.48664
1.254741838,53566.13225
1.281551755,46968.63314
1.308934517,45630.42936
1.336902362,43074.62535
1.365467793,42886.0626
1.394643578,41774.64799
1.424442759,38824.46563
1.454878655,35732.61274
1.485964871,33233.34526
1.517715303,30928.82997
1.550144142,28171.70371
1.583265885,170967.6905
1.617095335,28816.53872
1.651647616,27138.1226
1.686938171,24873.94004
1.722982774,24377.92549
1.759797539,23319.40946
1.79739892,21639.26761
1.835803725,19756.23842
1.875029121,19141.35425
1.915092642,18733.37114
1.956012195,18367.43124
1.997806071,17723.63058
2.040492951,16681.40675
2.084091917,16032.01771
2.128622457,14504.35606
2.174104476,12916.97399
2.220558303,12227.66418
2.268004704,12057.62096
2.316464886,10188.47053
2.365960511,10168.92445
2.416513703,9252.298927
2.468147059,8433.417386
2.520883658,4056.398331
2.574747074,555.3034343
2.629761384,294.1684945
2.685951177,260.1344835
2.743341571,228.8216873
2.801958218,227.5596133
2.861827321,189.5625714
2.922975639,153.5853299
2.985430506,160.5214245
3.049219838,153.6781691
3.11437215,342.5668189
3.180916563,485.4096229
3.248882822,429.1007685
3.318301308,403.3759822
3.389203051,327.0807453
3.461619742,294.497636
3.535583753,250.9861386
3.611128143,213.8033735
3.688286681,188.9814822
3.767093856,198.2484645
3.847584895,167.4175786
3.929795776,134.1459427
4.013763247,127.0310917
4.099524841,127.6730099
4.187118892,118.2977296
4.276584555,93.18268366
4.36796182,85.22244552
4.461291532,70.49746828
4.556615408,50.94862079
4.653976058,50.64903321
4.753417002,39.4000096
4.854982688,43.57983113
4.958718516,36.42414684
5.064670854,34.62132393
5.172887064,32.71961324
5.283415516,27.56178359
5.396305616,24.90868035
5.511607825,22.27107083
5.629373683,18.52631178
5.749655829,18.01947829
5.87250803,15.71350578
5.997985199,15.71894143
6.126143423,14.11320549
6.257039988,11.49627819
6.390733405,10.87144067
6.527283432,9.904578461
6.666751108,8.630327895
6.809198772,8.377496492
6.954690099,6.317825568
7.103290121,7.177959958
7.255065261,10.94203829
7.410083363,57.32415202
7.568413718,56.36759159
7.730127098,57.60840009
7.895295789,56.88498326
8.063993619,53.32343028
8.236295995,49.72214945
8.412279935,42.4570313
8.592024103,37.35570039
8.775608842,34.51140872
8.963116215,37.42308875
9.154630035,34.94443407
9.350235907,34.04173493
9.550021267,25.61999106
9.754075416,24.60884621
9.962489565,25.70244503
10.17535687,25.48328998
10.39277249,19.02299261
10.61483361,19.02310594
10.84163947,17.76617239
11.07329147,29.1353685
11.30989315,203.560157
11.55155027,288.4052549
11.79837085,345.8534152
12.05046521,407.4536588
12.30794604,384.8556376
12.57092844,556.6015175
12.83952994,526.7995648
13.11387063,496.717419
13.39407311,175.0633711
13.68026265,109.8012402
13.97256717,123.4945965
14.27111732,105.8257693
14.57604656,142.6457292
14.88749118,126.7542753
15.20559041,119.8625956
15.53048642,133.6783705
15.86232444,146.1244054
16.20125281,122.5487692
16.54742302,123.7726805
16.9009898,109.5238024
17.26211121,132.1307235
17.63094865,113.3090696
18.007667,121.5297075
18.39243464,107.5994689
18.78542357,103.9127662
19.18680944,99.15163691
19.59677167,95.43503572
20.01549352,86.90098595
20.44316215,84.00795508
20.87996873,91.81281009
21.32610849,75.19786924
21.78178087,81.61340397
22.24718955,83.99860496
22.72254256,78.03869243
23.20805237,66.99898263
23.70393602,70.95099778
24.21041516,68.17284625
24.72771617,57.4094437
25.25607029,66.16877999
25.79571369,65.98649411
26.34688758,69.39346304
26.90983834,73.76304212
27.4848176,69.6707102
28.07208237,51.87701199
28.67189516,64.98914554
29.28452408,57.58456526
29.91024296,48.70598398
30.5493315,55.86894133
31.20207537,59.1444212
31.86876634,44.19861638
32.54970242,45.63471225
33.24518797,51.85836874
33.95553388,49.48415062
34.68105767,50.01581705
35.42208363,38.44996174
36.17894301,44.37133728
36.9519741,46.80626987
37.74152246,43.33580904
38.54794101,39.2445671
39.3715902,41.28285087
40.21283821,39.23452062
41.07206106,39.61438386
41.94964282,45.35905815
42.84597576,43.71636648
43.76146054,48.83351657
44.69650637,34.00280367
45.65153122,22.88987537
46.62696196,21.54440662
47.62323462,14.6239715
48.64079451,13.31881698
49.68009648,11.33488851
50.74160509,10.12197012
51.82579483,9.948366535
52.93315032,8.310600265
54.06416654,7.024340596
55.21934905,6.388635912
56.3992142,5.719161987
57.60428938,5.369645684
58.83511327,4.834674623
60.09223602,3.838641422
61.37621955,4.229255546
62.68763781,4.298030702
64.02707698,4.412577242
65.39513579,4.277112454
66.79242575,4.435322099
68.21957143,4.721420917
69.67721076,3.666595745
71.16599529,3.613021916
72.6865905,3.250666079
74.23967609,3.904504909
75.82594627,4.07159053
77.44611009,3.736746152
79.10089176,4.074699595
80.79103094,4.79337631
82.51728312,4.588895395
84.28041993,4.401446309
86.08122947,4.785319491
87.92051668,4.410049243
89.79910373,4.931436939
91.71783031,4.189426493
93.6775541,4.019857415
95.67915107,5.162715038
97.72351591,4.414858464
99.81156245,4.463540416
101.944224,5.022802939
104.1224539,3.935920663
106.3472258,3.763304736
108.6195341,3.645644668
110.9403946,2.582278627
113.3108446,2.785145327
115.7319437,2.265037617
118.2047741,2.106915375
120.7304412,2.269269173
123.3100739,1.836064512
125.9448254,1.820120429
128.6358732,1.570140111
131.3844204,1.401501158
134.1916954,1.539758854
137.0589531,1.306838986
139.9874752,1.117551501
142.9785706,1.068212098
146.0335764,1.119701955
149.1538582,1.16385781
152.3408107,1.018809289
155.5958583,1.072414758
158.9204562,1.019543112
162.3160904,0.895263697
165.7842786,0.955566879
169.3265713,0.829934288
172.9445516,0.792163455
176.6398369,0.860479653
180.414079,0.768697798
184.2689648,0.738820462
188.2062174,0.812542274
192.2275969,0.86348255
196.3349007,0.837926072
200.5299648,0.837479066
204.8146643,0.907643583
209.1909145,0.935365992
213.6606714,0.922405831
218.2259331,0.970618122
222.8887403,0.887984276
227.651177,0.885328785
232.5153722,0.909934326
237.4835,0.841504351
