Run Number,Hits,Average Energy
0,3785,0.006222000000000137
1,2907,0.00635493999999992
10,892,0.007686839999999911
100,3705,0.05153275638326214
101,3772,0.052636699999995915
102,3798,0.05376140000000448
103,3881,0.054910100000000704
104,3902,0.05608340000000371
105,3940,0.05728170000000278
106,4300,0.05850559999999537
107,4520,0.05975570000000305
108,4747,0.06103250000000516
109,5095,0.06232703835132371
11,910,0.007851080000000009
110,5290,0.0636685000000044
111,5533,0.06502890000000046
112,5834,0.0664183999999935
113,6226,0.06783749999999682
114,6475,0.06928699999999031
115,6709,0.07076749999999175
116,7008,0.07227949999999084
117,7313,0.07381749716941466
118,7652,0.07540130000000103
119,4259,0.07701240000000091
12,909,0.008018830000000095
120,3484,0.07865789999999732
121,2332,0.08033860000000265
122,1319,0.08205519999999929
123,776,0.08380840000000081
124,510,0.08559919999999965
125,524,0.08742819999999986
126,523,0.08929619999999976
127,638,0.09120419999999997
128,839,0.09315300000000064
129,1142,0.09514330000000056
13,931,0.00819016999999995
130,1643,0.09717630000000085
131,2234,0.09925259999999982
132,3214,0.10137300000000249
133,3395,0.10353900000000711
134,3344,0.10575199999999645
135,3336,0.10801099999999551
136,3293,0.11031900000000308
137,3314,0.11267600000000347
138,3362,0.11508400000000649
139,3430,0.11754300000000766
14,907,0.008365170000000076
140,3487,0.12005399999999575
141,3188,0.12261999999999772
142,3231,0.12524000000000493
143,3357,0.12791600000001055
144,3406,0.13064900000000437
145,3547,0.13344000000000444
146,3475,0.136291000000013
147,3494,0.13920400000000563
148,3546,0.1421780000000012
149,3583,0.14521600000000418
15,965,0.008543910000000154
150,3702,0.14831900000000503
151,3714,0.151487999999985
152,3697,0.15472499999999448
153,3746,0.15803000000000444
154,3974,0.1614070000000086
155,3837,0.164855999999989
156,3778,0.1683779999999981
157,3695,0.1719759999999838
158,3611,0.17565100000000747
159,3792,0.17940399999998696
16,1001,0.008726460000000089
160,3850,0.1832369999999957
161,4070,0.1871519999999979
162,4314,0.19115099999999252
163,4338,0.19523500000001667
164,4537,0.19940699999998168
165,4609,0.2036679999999938
166,4626,0.20801900000001158
167,4719,0.21246399999998178
168,4819,0.21700399999998365
169,4957,0.22164099999999085
17,996,0.008912920000000163
170,4750,0.22637599999998662
171,4694,0.23121300000001857
172,4652,0.23610861006021092
173,4552,0.24119900000002534
174,4659,0.2463529999999992
175,4846,0.25161699999999076
176,4693,0.2569929999999843
177,4561,0.26248399999999467
178,4593,0.268092999999997
179,4711,0.2738209999999982
18,606,0.009103360000000055
180,4704,0.27967199999997955
181,4822,0.2856480000000205
182,4794,0.29172101439297277
183,4735,0.29798499999999184
184,4899,0.3043520000000303
185,4877,0.3108549999999658
186,4902,0.3174970000000029
187,5038,0.3242809999999849
188,4767,0.3312100000000371
189,4752,0.33828599999998327
19,620,0.00929787000000009
190,4664,0.3455149999999818
191,4704,0.3528969999999878
192,4849,0.3604370000000313
193,4933,0.36813899999997934
194,4992,0.3760050000000278
195,4993,0.38403900000001834
196,4945,0.3922450000000025
197,4687,0.400626000000041
198,4740,0.40918600000003413
199,4844,0.41792899999996996
2,2377,0.006490729999999798
20,813,0.009493985830258251
200,4878,0.4268589999999706
201,4795,0.43597900000003165
202,4654,0.44529499999998823
203,4625,0.45480900000002006
204,4477,0.46452700000003655
205,4551,0.4744530000000169
206,4495,0.4845900000000223
207,4539,0.4949440000000223
208,4783,0.5055200000000046
209,4736,0.5163210000000259
21,986,0.009699449999999988
210,4702,0.5273529999999599
211,4651,0.538621
212,4544,0.5501300000000433
213,4586,0.5618850000000386
214,4445,0.5738899999999824
215,4602,0.5861530000000306
216,4806,0.598676999999962
217,4772,0.6114689999999727
218,4696,0.6245340000000317
219,4608,0.6378780000000005
22,1159,0.009906700000000124
220,4661,0.6515079999999526
221,4445,0.665427999999948
222,4337,0.6796460000000385
223,4318,0.6941679999999911
224,4589,0.709001000000037
225,4683,0.7241500000000083
226,4513,0.7396229999999641
227,4532,0.75542600000006
228,4802,0.7715669999999027
229,4827,0.7880530000000961
23,1239,0.010118399999999772
230,4582,0.8048910000000989
231,4434,0.8220889999999056
232,4646,0.8396550000001015
233,4949,0.8575959999999195
234,4820,0.8759199999999712
235,4675,0.8946350000000705
236,4511,0.9137510000000406
237,4445,0.9332749999999582
238,4143,0.9532159999999724
239,4054,0.9735829999999683
24,1426,0.010334600000000164
240,3898,0.9943859999999456
241,3995,1.0156299999999603
242,4220,1.0373300000000842
243,4131,1.0592504187847567
244,4199,1.0821400000000272
245,4181,1.1049935672281819
246,4243,1.1283338092387594
247,4207,1.1519222689130593
248,4171,1.1766018186743332
249,4126,1.2012036356514066
25,1677,0.010554275730471008
250,4231,1.2269719978905724
251,4187,1.2529779727982133
252,4391,1.2789925242342843
253,4248,1.3053559424859589
254,4214,1.3343734790379327
255,4200,1.3641818555468188
256,4233,1.3914804145735051
257,4223,1.421038726298027
258,4299,1.4518521572248888
259,4374,1.4823030638490298
26,1796,0.01078090000000024
260,4420,1.5138745766232358
261,4673,1.5447144488600268
262,78,1.583269999999999
263,4263,1.6130074321250958
264,4331,1.6472505828025858
265,4505,1.6803223761824382
266,4435,1.71777287239179
267,4468,1.7512911145698575
268,4422,1.791453673158123
269,4401,1.8304880533575754
27,1985,0.011011299999999852
270,4220,1.8690918308155435
271,4199,1.9082920951468112
272,4172,1.9493608091012755
273,4176,1.9892438895868256
274,4213,2.0328308682575678
275,4141,2.0769607913664414
276,4187,2.1213648875479465
277,4335,2.1669173155477512
278,4456,2.212957748348108
279,4369,2.260719399602458
28,2257,0.011246599999999827
280,4367,2.3080709332156153
281,4105,2.356043305921747
282,4193,2.406184282201346
283,4291,2.460539505448739
284,6505,2.5097077902487053
285,9445,2.567359982818645
286,9715,2.6212487236812554
287,9735,2.6773157595128723
288,9754,2.7349363051893865
289,9736,2.793362361958141
29,2518,0.011486900000000501
290,9748,2.8534586761251712
291,9791,2.9127459460825396
292,9777,2.975142369514039
293,9785,3.0384912369271855
294,9444,3.103732499170131
295,9159,3.1672793180518
296,9209,3.234453265737498
297,9202,3.3061513325013125
298,9282,3.3787161094626836
299,9303,3.4464010922096766
3,1915,0.006629419999999888
30,2700,0.011732299999999328
300,9352,3.5226549286008217
301,9400,3.597644054903344
302,9436,3.676587335302728
303,9414,3.7526358685498913
304,9492,3.8343268969571684
305,9558,3.912488869639503
306,9531,4.000091051567032
307,9534,4.083213258229347
308,9577,4.167527791078129
309,9637,4.258812247009991
31,2923,0.011983000000000549
310,9597,4.3509677578660355
311,9647,4.439391058768255
312,9718,4.536503142877908
313,9675,4.636916844868465
314,9734,4.737203726899725
315,9704,4.832402711258399
316,9742,4.939179978919351
317,9749,5.042633564962858
318,9757,5.148410047677671
319,9778,5.264133532500072
32,3172,0.01223900000000044
320,9784,5.369860914289772
321,9786,5.489609714828292
322,9816,5.607185923698057
323,9815,5.724502214922622
324,9834,5.848674686695549
325,9831,5.971826384562336
326,9838,6.100447880908488
327,9857,6.233379471033284
328,9852,6.368590172486889
329,9866,6.500338146982553
33,3371,0.012500500000000915
330,9873,6.641373316408479
331,9873,6.7822213643072145
332,9906,6.9275737979629275
333,9888,7.0766049128987865
334,9910,7.228336627641026
335,9905,7.3867878966521285
336,9909,7.540774318282373
337,9902,7.702613230865428
338,9897,7.8675753797570325
339,9898,8.035842885273015
34,3578,0.012767599999999034
340,9899,8.199385228650677
341,9901,8.382357424208909
342,9908,8.561827534518233
343,9911,8.744902548651938
344,9904,8.922047332674044
345,9898,9.118782253085358
346,9901,9.306057921879626
347,9923,9.5152046988289
348,9926,9.71687512025245
349,9915,9.92585807086491
35,3731,0.01304040000000081
350,9896,10.141156458478623
351,9924,10.354404343420804
352,9928,10.567587851448668
353,9916,10.811089490265575
354,9934,11.033758883511885
355,9944,11.267203575130713
356,9943,11.527655973026187
357,9934,11.766367996046775
358,9915,12.02079838142675
359,9921,12.277708996771265
36,3980,0.01331909999999892
360,9884,12.528755533089825
361,9881,12.810645081571408
362,9880,13.080948647891883
363,9882,13.366259416095623
364,9886,13.64029318131444
365,9855,13.943734970238465
366,9887,14.229475865242154
367,9841,14.529050420527286
368,9852,14.854756664056575
369,9864,15.167804051079939
37,4077,0.01360218327201299
370,9851,15.483431208573885
371,9837,15.810183807916083
372,9854,16.171527241016232
373,9857,16.50930727688608
374,9872,16.868856327611628
375,9847,17.22039782465863
376,9870,17.5920011563141
377,9874,17.940687070616825
378,9881,18.345510086903566
379,9884,18.74113439408229
38,4167,0.01389429999999879
380,9897,19.128722008698833
381,9900,19.541324888231035
382,9909,19.963720966396348
383,9904,20.408546529582605
384,9906,20.818457950488632
385,9923,21.274520980174866
386,9912,21.734373068012484
387,9923,22.16702168222342
388,9920,22.66573797785387
389,9939,23.140240660542993
39,4316,0.01419119999999942
390,9934,23.63395863149928
391,9932,24.152860251533113
392,9949,24.66258951779354
393,9939,25.185096981362914
394,9938,25.726445355982516
395,9935,26.27198727886097
396,9923,26.84994425071222
397,9945,27.378099342941503
398,9962,27.982502785334333
399,9939,28.595876429002832
4,1629,0.006771069999999846
40,4407,0.014494399999998447
400,9948,29.1960017107236
401,9957,29.819921964847993
402,9940,30.463317484289888
403,9927,31.124507385755628
404,9953,31.774081964162495
405,9938,32.481830109783125
406,9934,33.137399539196615
407,9925,33.87724867461358
408,9922,34.592940173006795
409,9937,35.35148046696214
41,4406,0.014802707784838305
410,9926,36.07139222787316
411,9917,36.83828336132716
412,9927,37.60366482098269
413,9932,38.41283764993314
414,9920,39.24916999159319
415,9924,40.093812056607824
416,9922,40.95454553230271
417,9918,41.781630347763354
418,9922,42.676093240902574
419,9899,43.62890263793769
42,4453,0.015120400000000598
420,9907,44.54953661313942
421,9916,45.506544561132465
422,9903,46.432674890129405
423,9924,47.438150694426774
424,9914,48.45702768049018
425,9910,49.52103188379206
426,9912,50.55792637106679
427,9912,51.570052350143854
428,9910,52.733198623643666
429,9921,53.84624118398787
43,4492,0.015443500000001857
430,9919,54.950753936936884
431,9914,56.174690664661156
432,9921,57.324827770851485
433,9919,58.585512197479346
434,9937,59.84968959820058
435,9928,61.11941121460879
436,9926,62.4263272236499
437,9932,63.70196046048864
438,9935,65.06722022331354
439,9934,66.43580836667816
44,4429,0.01577350000000066
440,9926,67.85758522982493
441,9946,69.36539601355312
442,9945,70.86489179060443
443,9949,72.42077232211186
444,9941,73.89713332842955
445,9941,75.44204250118945
446,9945,77.09267787680272
447,9950,78.62856072187554
448,9914,80.4439793530059
449,9925,82.11707826554807
45,4307,0.01611050000000128
450,9937,83.81278782615658
451,9915,85.70467265900439
452,9924,87.54518683575111
453,9913,89.38904903978464
454,9923,91.38991641704386
455,9923,93.3853791555841
456,9893,95.37521497218613
457,9921,97.33449784239346
458,9919,99.42120858691933
459,9902,101.5663834310609
46,4313,0.016454800000000113
460,9907,103.77361375429972
461,9896,105.91162875385585
462,9877,108.17313099866956
463,9911,110.44524304486907
464,9877,112.85896446714182
465,9897,115.20723936514369
466,9895,117.63808353405122
467,9878,120.01734906579138
468,9885,122.7533381380818
469,9877,125.32170794394727
47,4151,0.016806299999999254
470,9872,128.0535132162835
471,9882,130.75339671133847
472,9849,133.60394238084646
473,9868,136.4496088584918
474,9879,139.43358808069453
475,9878,142.39460434274454
476,9858,145.47050837252775
477,9849,148.44903798473845
478,9854,151.77595082498738
479,9841,154.9138355116621
48,4142,0.01716540000000093
480,9842,158.04761517180285
481,9851,161.55110914468383
482,9830,164.97108676077107
483,9859,168.33934781752455
484,9856,171.9970812743606
485,9836,175.55784992315222
486,9846,179.47207391589274
487,9848,183.41750584156634
488,9844,187.04001577366202
489,9826,191.12338248182425
49,3936,0.01753219999999976
490,9841,195.0440899782607
491,9826,199.5180903120746
492,9817,203.5819513644501
493,9808,207.96694178963511
494,9822,212.18201697691072
495,9811,216.67642576666685
496,9826,221.46184297161975
497,9829,226.14096601402193
498,9804,230.93248121114343
499,9794,236.01373884076477
5,1452,0.0069157400000001285
50,3852,0.017906799999999567
51,3618,0.018289400000000372
52,3592,0.01868019999999932
53,3560,0.019079400000000756
54,3505,0.01948699999999929
55,3491,0.019903399999999027
56,3427,0.02032869999999971
57,3371,0.02076300000000101
58,3282,0.021206699999999818
59,3327,0.02165979999999991
6,1257,0.007063510000000046
60,3199,0.022122600000001463
61,3140,0.022595299999999985
62,3161,0.02307810000000029
63,3116,0.023571200000000247
64,3123,0.024074799999999716
65,3110,0.02458567292604476
66,3058,0.025114599999999685
67,3026,0.025651300000001074
68,3114,0.02619930000000077
69,3091,0.026759100000001222
7,1209,0.00721444000000011
70,3027,0.027330899999999873
71,3012,0.027914899999999226
72,3092,0.028511300000001048
73,3067,0.029120500000000694
74,3053,0.029742699999999903
75,3143,0.030378299999999112
76,3156,0.03102730000000143
77,3226,0.03169029999999819
78,3225,0.03236739999999854
79,3265,0.03305899999999836
8,1106,0.007368589999999798
80,3218,0.033765399999997135
81,3243,0.03448679999999932
82,3203,0.03522370000000211
83,3352,0.03597630000000129
84,3288,0.03674499999999908
85,3364,0.03753020000000274
86,3391,0.038332100000002145
87,3291,0.03915109999999867
88,3371,0.03998760000000189
89,3302,0.040842100000002164
9,983,0.007526030000000126
90,3364,0.04171469999999999
91,3404,0.04260600000000327
92,3565,0.043516399999998796
93,3459,0.04444620000000052
94,3450,0.04539589999999941
95,3587,0.04636579999999845
96,3508,0.04735650000000376
97,3544,0.04836839999999736
98,3715,0.0494018999999998
99,3689,0.050457399999999215
